Date,MADATA.InIcuCum,MADATA.InIcuCurr
2020-1-22,0,0
2020-1-23,0,0
2020-1-24,0,0
2020-1-25,0,0
2020-1-26,0,0
2020-1-27,0,0
2020-1-28,0,0
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,973
2020-4-16,0,973
2020-4-17,0,987
2020-4-18,0,987
2020-4-19,0,987
2020-4-20,0,987
2020-4-21,0,1040
2020-4-22,0,1050
2020-4-23,0,1034
2020-4-24,0,1034
2020-4-25,0,1058
2020-4-26,0,1077
2020-4-27,0,1089
2020-4-28,0,1005
2020-4-29,0,1011
2020-4-30,0,1001
2020-5-1,0,947
2020-5-2,0,921
2020-5-3,0,904
2020-5-4,0,908
2020-5-5,0,914
2020-5-6,0,922
2020-5-7,0,852
2020-5-8,0,826
2020-5-9,0,814
2020-5-10,0,810
2020-5-11,0,813
2020-5-12,0,818
2020-5-13,0,794
2020-5-14,0,781
2020-5-15,0,749
2020-5-16,0,747
2020-5-17,0,702
2020-5-18,0,674
2020-5-19,0,672
2020-5-20,0,675
2020-5-21,0,647
2020-5-22,0,628
2020-5-23,0,610
2020-5-24,0,558
2020-5-25,0,576
2020-5-26,0,560
2020-5-27,0,556
2020-5-28,0,529
2020-5-29,0,485
2020-5-30,0,453
2020-5-31,0,436
2020-6-1,0,404
2020-6-2,0,394
2020-6-3,0,393
2020-6-4,0,401
2020-6-5,0,350
2020-6-6,0,359
2020-6-7,0,335
2020-6-8,0,322
2020-6-9,0,315
2020-6-10,0,319
2020-6-11,0,296
2020-6-12,0,276
2020-6-13,0,249
2020-6-14,0,244
2020-6-15,0,253
2020-6-16,0,244
2020-6-17,0,227
2020-6-18,0,227
2020-6-19,0,199
2020-6-20,0,200
2020-6-21,0,194
2020-6-22,0,180
2020-6-23,0,181
2020-6-24,0,181
2020-6-25,0,174
2020-6-26,0,156
2020-6-27,0,143
2020-6-28,0,134
2020-6-29,0,138
2020-6-30,0,120
2020-7-1,0,123
2020-7-2,0,113
2020-7-3,0,106
2020-7-4,0,107
2020-7-5,0,100
2020-7-6,0,99
2020-7-7,0,104
2020-7-8,0,102
2020-7-9,0,103
2020-7-10,0,98
2020-7-11,0,87
2020-7-12,0,93
2020-7-13,0,89
2020-7-14,0,93
2020-7-15,0,80
2020-7-16,0,77
2020-7-17,0,76
2020-7-18,0,86
2020-7-19,0,64
2020-7-20,0,67
2020-7-21,0,63
2020-7-22,0,63
2020-7-23,0,59
2020-7-24,0,49
2020-7-25,0,50
2020-7-26,0,56
2020-7-27,0,57
2020-7-28,0,54
2020-7-29,0,62
2020-7-30,0,55
2020-7-31,0,58
2020-8-1,0,53
2020-8-2,0,68
2020-8-3,0,64
2020-8-4,0,56
2020-8-5,0,57
2020-8-6,0,73
2020-8-7,0,69
2020-8-8,0,68
2020-8-9,0,60
2020-8-10,0,60
2020-8-11,0,70
2020-8-12,0,64
2020-8-13,0,61
2020-8-14,0,58
2020-8-15,0,65
2020-8-16,0,65
2020-8-17,0,59
2020-8-18,0,66
2020-8-19,0,66
2020-8-20,0,62
2020-8-21,0,66
2020-8-22,0,50
2020-8-23,0,50
2020-8-24,0,62
2020-8-25,0,61
2020-8-26,0,68
2020-8-27,0,61
2020-8-28,0,60
2020-8-29,0,62
2020-8-30,0,62
2020-8-31,0,56
2020-9-1,0,55
2020-9-2,0,58
2020-9-3,0,61
2020-9-4,0,60
2020-9-5,0,48
2020-9-6,0,52
2020-9-7,0,56
2020-9-8,0,47
2020-9-9,0,49
2020-9-10,0,59
2020-9-11,0,60
2020-9-12,0,64
2020-9-13,0,61
2020-9-14,0,63
2020-9-15,0,52
2020-9-16,0,66
2020-9-17,0,64
2020-9-18,0,62
2020-9-19,0,65
2020-9-20,0,61
2020-9-21,0,69
2020-9-22,0,67
2020-9-23,0,71
2020-9-24,0,75
2020-9-25,0,78
2020-9-26,0,77
2020-9-27,0,79
2020-9-28,0,85
2020-9-29,0,107
2020-9-30,0,89
2020-10-1,0,84
2020-10-2,0,79
2020-10-3,0,75
2020-10-4,0,83
2020-10-5,0,88
2020-10-6,0,85
2020-10-7,0,83
2020-10-8,0,85
2020-10-9,0,88
2020-10-10,0,86
2020-10-11,0,85
2020-10-12,0,82
2020-10-13,0,87
2020-10-14,0,88
2020-10-15,0,92
2020-10-16,0,77
2020-10-17,0,88
2020-10-18,0,83
2020-10-19,0,86
2020-10-20,0,94
2020-10-21,0,91
2020-10-22,0,103
2020-10-23,0,125
2020-10-24,0,114
2020-10-25,0,109
2020-10-26,0,105
2020-10-27,0,109
2020-10-28,0,106
2020-10-29,0,99
2020-10-30,0,106
2020-10-31,0,118
2020-11-1,0,113
2020-11-2,0,96
2020-11-3,0,96
2020-11-4,0,109
2020-11-5,0,115
2020-11-6,0,118
2020-11-7,0,127
2020-11-8,0,144
2020-11-9,0,143
2020-11-10,0,150
2020-11-11,0,152
2020-11-12,0,151
2020-11-13,0,153
2020-11-14,0,151
2020-11-15,0,159
2020-11-16,0,159
2020-11-17,0,159
2020-11-18,0,173
2020-11-19,0,181
2020-11-20,0,179
2020-11-21,0,187
2020-11-22,0,192
2020-11-23,0,204
2020-11-24,0,205
2020-11-25,0,208
2020-11-26,0,208
2020-11-27,0,209
2020-11-28,0,225
2020-11-29,0,238
2020-11-30,0,244
2020-12-1,0,239
2020-12-2,0,264
2020-12-3,0,261
2020-12-4,0,278
2020-12-5,0,283
2020-12-6,0,298
2020-12-7,0,302
2020-12-8,0,310
2020-12-9,0,308
2020-12-10,0,307
2020-12-11,0,309
2020-12-12,0,334
2020-12-13,0,342
2020-12-14,0,354
2020-12-15,0,371
2020-12-16,0,382
2020-12-17,0,383
2020-12-18,0,370
2020-12-19,0,383
2020-12-20,0,387
2020-12-21,0,410
2020-12-22,0,412
2020-12-23,0,409
2020-12-24,0,409
2020-12-25,0,409
2020-12-26,0,416
2020-12-27,0,416
2020-12-28,0,430
2020-12-29,0,431
2020-12-30,0,433
2020-12-31,0,417
2021-1-1,0,417
2021-1-2,0,412
2021-1-3,0,416
2021-1-4,0,423
2021-1-5,0,425
2021-1-6,0,442
2021-1-7,0,455
2021-1-8,0,440
2021-1-9,0,445
2021-1-10,0,459
2021-1-11,0,451
2021-1-12,0,451
2021-1-13,0,461
2021-1-14,0,454
2021-1-15,0,451
2021-1-16,0,433
2021-1-17,0,433
2021-1-18,0,427
2021-1-19,0,432
2021-1-20,0,444
2021-1-21,0,430
2021-1-22,0,426
2021-1-23,0,418
2021-1-24,0,409
2021-1-25,0,418
2021-1-26,0,431
2021-1-27,0,418
2021-1-28,0,442
2021-1-29,0,412
2021-1-30,0,393
2021-1-31,0,371
2021-2-1,0,373
2021-2-2,0,353
2021-2-3,0,335
2021-2-4,0,335
2021-2-5,0,322
2021-2-6,0,310
2021-2-7,0,318
2021-2-8,0,329
2021-2-9,0,324
2021-2-10,0,309
2021-2-11,0,304
2021-2-12,0,300
2021-2-13,0,291
2021-2-14,0,290
2021-2-15,0,286
2021-2-16,0,275
2021-2-17,0,273
2021-2-18,0,271
2021-2-19,0,258
2021-2-20,0,246
2021-2-21,0,234
2021-2-22,0,229
2021-2-23,0,225
2021-2-24,0,219
2021-2-25,0,221
2021-2-26,0,211
2021-2-27,0,204
2021-2-28,0,183
2021-3-1,0,184
2021-3-2,0,187
2021-3-3,0,173
2021-3-4,0,168
2021-3-5,0,180
2021-3-6,0,176
2021-3-7,0,174
