Date,IADATA.OnVentCum,IADATA.OnVentCurr
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,30
2020-4-11,0,30
2020-4-12,0,30
2020-4-13,0,41
2020-4-14,0,41
2020-4-15,0,43
2020-4-16,0,48
2020-4-17,0,52
2020-4-18,0,51
2020-4-19,0,54
2020-4-20,0,58
2020-4-21,0,60
2020-4-22,0,57
2020-4-23,0,55
2020-4-24,0,60
2020-4-25,0,60
2020-4-26,0,55
2020-4-27,0,58
2020-4-28,0,64
2020-4-29,0,74
2020-4-30,0,86
2020-5-1,0,91
2020-5-2,0,90
2020-5-3,0,93
2020-5-4,0,93
2020-5-5,0,94
2020-5-6,0,103
2020-5-7,0,107
2020-5-8,0,109
2020-5-9,0,106
2020-5-10,0,105
2020-5-11,0,107
2020-5-12,0,101
2020-5-13,0,101
2020-5-14,0,93
2020-5-15,0,87
2020-5-16,0,83
2020-5-17,0,85
2020-5-18,0,85
2020-5-19,0,83
2020-5-20,0,84
2020-5-21,0,80
2020-5-22,0,79
2020-5-23,0,70
2020-5-24,0,61
2020-5-25,0,66
2020-5-26,0,65
2020-5-27,0,66
2020-5-28,0,67
2020-5-29,0,78
2020-5-30,0,69
2020-5-31,0,70
2020-6-1,0,73
2020-6-2,0,76
2020-6-3,0,76
2020-6-4,0,70
2020-6-5,0,62
2020-6-6,0,62
2020-6-7,0,54
2020-6-8,0,53
2020-6-9,0,51
2020-6-10,0,49
2020-6-11,0,48
2020-6-12,0,47
2020-6-13,0,43
2020-6-14,0,47
2020-6-15,0,51
2020-6-16,0,49
2020-6-17,0,47
2020-6-18,0,47
2020-6-19,0,37
2020-6-20,0,30
2020-6-21,0,27
2020-6-22,0,28
2020-6-23,0,26
2020-6-24,0,25
2020-6-25,0,26
2020-6-26,0,24
2020-6-27,0,22
2020-6-28,0,18
2020-6-29,0,18
2020-6-30,0,20
2020-7-1,0,21
2020-7-2,0,18
2020-7-3,0,20
2020-7-4,0,16
2020-7-5,0,16
2020-7-6,0,15
2020-7-7,0,20
2020-7-8,0,23
2020-7-9,0,22
2020-7-10,0,26
2020-7-11,0,25
2020-7-12,0,26
2020-7-13,0,32
2020-7-14,0,32
2020-7-15,0,30
2020-7-16,0,34
2020-7-17,0,32
2020-7-18,0,27
2020-7-19,0,31
2020-7-20,0,30
2020-7-21,0,32
2020-7-22,0,31
2020-7-23,0,32
2020-7-24,0,27
2020-7-25,0,28
2020-7-26,0,29
2020-7-27,0,32
2020-7-28,0,31
2020-7-29,0,32
2020-7-30,0,31
2020-7-31,0,29
2020-8-1,0,35
2020-8-2,0,36
2020-8-3,0,31
2020-8-4,0,32
2020-8-5,0,34
2020-8-6,0,32
2020-8-7,0,25
2020-8-8,0,22
2020-8-9,0,20
2020-8-10,0,23
2020-8-11,0,25
2020-8-12,0,25
2020-8-13,0,25
2020-8-14,0,28
2020-8-15,0,35
2020-8-16,0,34
2020-8-17,0,33
2020-8-18,0,35
2020-8-19,0,33
2020-8-20,0,31
2020-8-21,0,32
2020-8-22,0,34
2020-8-23,0,39
2020-8-24,0,37
2020-8-25,0,37
2020-8-26,0,40
2020-8-27,0,44
2020-8-28,0,41
2020-8-29,0,43
2020-8-30,0,42
2020-8-31,0,46
2020-9-1,0,43
2020-9-2,0,39
2020-9-3,0,41
2020-9-4,0,41
2020-9-5,0,38
2020-9-6,0,37
2020-9-7,0,35
2020-9-8,0,37
2020-9-9,0,37
2020-9-10,0,34
2020-9-11,0,36
2020-9-12,0,35
2020-9-13,0,28
2020-9-14,0,29
2020-9-15,0,29
2020-9-16,0,32
2020-9-17,0,36
2020-9-18,0,39
2020-9-19,0,40
2020-9-20,0,38
2020-9-21,0,35
2020-9-22,0,34
2020-9-23,0,37
2020-9-24,0,37
2020-9-25,0,35
2020-9-26,0,29
2020-9-27,0,34
2020-9-28,0,39
2020-9-29,0,36
2020-9-30,0,31
2020-10-1,0,33
2020-10-2,0,36
2020-10-3,0,38
2020-10-4,0,39
2020-10-5,0,43
2020-10-6,0,43
2020-10-7,0,42
2020-10-8,0,63
2020-10-9,0,38
2020-10-10,0,40
2020-10-11,0,40
2020-10-12,0,39
2020-10-13,0,44
2020-10-14,0,46
2020-10-15,0,49
2020-10-16,0,48
2020-10-17,0,46
2020-10-18,0,45
2020-10-19,0,45
2020-10-20,0,45
2020-10-21,0,49
2020-10-22,0,53
2020-10-23,0,49
2020-10-24,0,49
2020-10-25,0,42
2020-10-26,0,45
2020-10-27,0,46
2020-10-28,0,51
2020-10-29,0,56
2020-10-30,0,55
2020-10-31,0,55
2020-11-1,0,57
2020-11-2,0,57
2020-11-3,0,59
2020-11-4,0,63
2020-11-5,0,60
2020-11-6,0,67
2020-11-7,0,72
2020-11-8,0,77
2020-11-9,0,82
2020-11-10,0,89
2020-11-11,0,101
2020-11-12,0,101
2020-11-13,0,107
2020-11-14,0,107
2020-11-15,0,115
2020-11-16,0,123
2020-11-17,0,130
2020-11-18,0,134
2020-11-19,0,135
2020-11-20,0,144
2020-11-21,0,137
2020-11-22,0,132
2020-11-23,0,135
2020-11-24,0,155
2020-11-25,0,198
2020-11-26,0,142
2020-11-27,0,141
2020-11-28,0,146
2020-11-29,0,151
2020-11-30,0,147
2020-12-1,0,144
2020-12-2,0,131
2020-12-3,0,131
2020-12-4,0,128
2020-12-5,0,117
2020-12-6,0,122
2020-12-7,0,120
2020-12-8,0,111
2020-12-9,0,120
2020-12-10,0,114
2020-12-11,0,97
2020-12-12,0,94
2020-12-13,0,99
2020-12-14,0,86
2020-12-15,0,88
2020-12-16,0,85
2020-12-17,0,87
2020-12-18,0,80
2020-12-19,0,77
2020-12-20,0,79
2020-12-21,0,72
2020-12-22,0,71
2020-12-23,0,71
2020-12-24,0,70
2020-12-25,0,69
2020-12-26,0,63
2020-12-27,0,65
2020-12-28,0,60
2020-12-29,0,67
2020-12-30,0,66
2020-12-31,0,69
2021-1-1,0,63
2021-1-2,0,60
2021-1-3,0,52
2021-1-4,0,55
2021-1-5,0,53
2021-1-6,0,54
2021-1-7,0,52
2021-1-8,0,51
2021-1-9,0,47
2021-1-10,0,41
2021-1-11,0,36
2021-1-12,0,30
2021-1-13,0,30
2021-1-14,0,35
2021-1-15,0,35
2021-1-16,0,39
2021-1-17,0,40
2021-1-18,0,38
2021-1-19,0,36
2021-1-20,0,36
2021-1-21,0,36
2021-1-22,0,34
2021-1-23,0,38
2021-1-24,0,36
2021-1-25,0,37
2021-1-26,0,37
2021-1-27,0,37
2021-1-28,0,32
2021-1-29,0,29
2021-1-30,0,31
2021-1-31,0,29
2021-2-1,0,28
2021-2-2,0,31
2021-2-3,0,34
2021-2-4,0,31
2021-2-5,0,31
2021-2-6,0,30
2021-2-7,0,32
2021-2-8,0,35
2021-2-9,0,29
2021-2-10,0,27
2021-2-11,0,26
2021-2-12,0,33
2021-2-13,0,33
2021-2-14,0,29
2021-2-15,0,28
2021-2-16,0,25
2021-2-17,0,20
2021-2-18,0,24
2021-2-19,0,26
2021-2-20,0,24
2021-2-21,0,27
2021-2-22,0,25
2021-2-23,0,25
2021-2-24,0,23
2021-2-25,0,22
2021-2-26,0,18
2021-2-27,0,18
2021-2-28,0,19
2021-3-1,0,15
2021-3-2,0,11
2021-3-3,0,11
2021-3-4,0,11
2021-3-5,0,9
2021-3-6,0,10
2021-3-7,0,6
